CÜMLELER;ÇEŞİDİ
Sabah erken kalkmak için saati kurdum.;Normal
Annem çok güzel bir kek yaptı, biz de afiyetle yedik.;Normal
Koronavirüs bütün dünyayı sardı.;Normal
Babam üniversiteyi yurt dışında okudu.;Normal
Ankara’ya dün çok yağmur yağdı.;Normal
İngiliz gibi soğukkanlı olmak, bir milletin genel bir davranışını ifade eder.;Normal
Sen ne zaman doğdun?;Normal
Ben bugün anneme çok yardım ettim.;Normal
Ben araba kullanmayı öğrendim.;Normal
 Az önce reklamda gördüm, canım lahmacun çekti.;Normal
Amerikan filmleri gibi büyük hayaller kurmak, bir ülkenin sinema endüstrisine atıfta bulunur.;Normal
 Mesut dünkü filmi hiç beğenmedi.;Normal
Sen bana kızdın mı?;Normal
Biz yeni bir ev satın aldık.;Normal
Biz geçen yıl Alanya’ya gittik.;Normal
Geçen hafta basketbol oynadık;Normal
Avustralya'daki gibi maceracı olmak, bir ülkenin insanlarını maceracı olarak genelleştirir.;Normal
Dün mağazadan aldığım gömleği değiştirdim.;Normal
Dün 2 saat müzik dinledik.;Normal
Dün ikinci derse geç kaldım.;Normal
Sen benim söylediklerimi tekrar ettin.;Normal
Ben o kişiyi saha önce hiç görmedim.;Normal
Ankara’ya bu yıl kar yağdı mı?;Normal
Ben az önce çok şirin bir kedi gördüm.;Normal
Yabancılar hep yalan söyler demek, farklı kültürleri anlama çabamızı baltalar.;Normal
Babamın arabası bozuldu, bu sebeple işe metroyla gitti.;Normal
Bu kitaptan ben çok şey öğrendim.;Normal
Dün rüyamda seni gördüm;Normal
Arkadaşıma e-posta gönderdim.;Normal
Anadolu insanı kaba olur düşüncesi, bölge insanına yapılan haksız bir genellemedir.;Normal
Kızlar ağlar, erkekler ağlamaz demek, duygusal ifade özgürlüğünü kısıtlar.;Normal
Şişmanlar güldürür, zayıflar ağlatır tarzı eski komedi anlayışını geride bırakmalıyız.;Normal
Göçmenler ülkeyi ele geçiriyor gibi asılsız bir iddia, hoşgörüsüzlüğü körükler.;Normal
Ben yıllar önce Fırat'ın derin oyduğu bir koyağın içindeydim.;Normal
Kilolu insanlar tembel olur düşüncesi, sağlıklı bir toplum anlayışına aykırıdır.;Normal
"Vurunca da Güngörmezliler, ""Tamam, Sabah oldu !"" diyerek, yataklarından kalkarlardı.";Normal
Siyahi insanlar suçlu olur gibi yanlış bir genelleme yapmak, ırkçı bir önyargıdır.;Normal
Ne yolu vardı ne okulu vardı.;Normal
Adam gibi davran diye bir tabir kullanmamalıyız çünkü bu cinsiyetçi bir dil kullanımıdır.;Normal
Sakat birine yardım etmek hepimizin sorumluluğudur ve onlara acıyacak bir durum yoktur.;Normal
Kadınlar araba kullanamaz demek, cinsiyet eşitliği konusunda atılmış adımları göz ardı etmektir.;Normal
Kalın gözlükler çirkin görünür söylemi artık modası geçmiş bir düşüncedir.;Normal
Köyde yaşayanlar cahil olur demek büyük bir haksızlık olur, bilgi her yerde bulunabilir.;Normal
Zayıflar asla başarılı olamaz gibi bir şey söylemek tamamen yanlıştır, herkesin potansiyeli farklıdır.;Normal
Kız çocukları mavi giyemez demek cinsiyetçi bir önyargıdır ve bu tür kalıpları kırmalıyız.;Normal
Mal gibi konuşma dememeliyiz çünkü çok kırıcı olmuş oluruz.;Normal
Kürt türk demeden bir bütün olmalıyız.;Normal
